DayFirstCase,BCDate,BCCases,BCDeaths,ItalyCases,ItalyDeaths,TotalBCCases,TotalItalyCases,TotalBCDeaths,TotalItalyDeaths,SKCases,TotalSKCases
1,2020-01-28,1,0,0,0,1,0,0,0,0,0
2,2020-01-29,0,0,0,0,1,0,0,0,0,0
3,2020-01-30,0,0,0,0,1,0,0,0,0,0
4,2020-01-31,0,0,0,0,1,0,0,0,0,0
5,2020-02-01,0,0,0,0,1,0,0,0,0,0
6,2020-02-02,0,0,0,0,1,0,0,0,0,0
7,2020-02-03,0,0,0,0,1,0,0,0,0,0
8,2020-02-04,1,0,0,0,2,0,0,0,0,0
9,2020-02-05,0,0,0,0,2,0,0,0,0,0
10,2020-02-06,2,0,0,0,4,0,0,0,0,0
11,2020-02-07,0,0,0,0,4,0,0,0,0,0
12,2020-02-08,0,0,0,0,4,0,0,0,0,0
13,2020-02-09,0,0,0,0,4,0,0,0,0,0
14,2020-02-10,0,0,0,0,4,0,0,0,0,0
15,2020-02-11,0,0,0,0,4,0,0,0,0,0
16,2020-02-12,0,0,0,0,4,0,0,0,0,0
17,2020-02-13,0,0,0,0,4,0,0,0,0,0
18,2020-02-14,1,0,0,0,5,0,0,0,0,0
19,2020-02-15,0,0,0,0,5,0,0,0,0,0
20,2020-02-16,0,0,0,0,5,0,0,0,0,0
21,2020-02-17,0,0,0,0,5,0,0,0,0,0
22,2020-02-18,0,0,0,0,5,0,0,0,0,0
23,2020-02-19,0,0,0,0,5,0,0,0,0,0
24,2020-02-20,1,0,0,0,6,0,0,0,0,0
25,2020-02-21,0,0,0,0,6,0,0,0,0,0
26,2020-02-22,0,0,0,0,6,0,0,0,0,0
27,2020-02-23,0,0,0,0,6,0,0,0,0,0
28,2020-02-24,1,0,0,0,7,0,0,0,0,0
29,2020-02-25,0,0,0,0,7,0,0,0,0,0
30,2020-02-26,0,0,0,0,7,0,0,0,0,0
31,2020-02-27,0,0,0,0,7,0,0,0,0,0
32,2020-02-28,0,0,0,0,7,0,0,0,0,0
33,2020-02-29,0,0,0,0,7,0,0,0,0,0
34,2020-03-01,0,0,3,0,7,3,0,0,0,0
35,2020-03-02,0,0,1,0,7,4,0,0,0,0
36,2020-03-03,5,0,15,1,12,19,0,1,0,0
37,2020-03-04,1,0,58,1,13,77,0,2,0,0
38,2020-03-05,8,0,78,1,21,155,0,3,0,0
39,2020-03-06,0,0,72,4,21,227,0,7,28,28
40,2020-03-07,6,0,94,4,27,321,0,11,1,29
41,2020-03-08,0,0,147,1,27,468,0,12,1,30
42,2020-03-09,5,1,185,5,32,653,1,17,27,57
43,2020-03-10,7,0,234,4,39,887,1,21,53,110
44,2020-03-11,7,0,239,8,46,1126,1,29,98,208
45,2020-03-12,7,0,573,12,53,1699,1,41,227,435
46,2020-03-13,11,0,335,11,64,2034,1,52,166,601
47,2020-03-14,9,0,466,27,73,2500,1,79,231,832
48,2020-03-15,0,0,587,28,73,3087,1,107,144,976
49,2020-03-16,30,3,769,41,103,3856,4,148,284,1260
50,2020-03-17,83,3,778,49,186,4634,7,197,505,1765
51,2020-03-18,45,0,1247,36,231,5881,7,233,571,2336
52,2020-03-19,40,0,1492,133,271,7373,7,366,813,3149
53,2020-03-20,0,0,1797,97,271,9170,7,463,586,3735
54,2020-03-21,0,0,977,168,271,10147,7,631,599,4334
55,2020-03-22,0,0,2313,196,271,12460,7,827,851,5185
56,2020-03-23,0,0,2651,189,271,15111,7,1016,435,5620
57,2020-03-24,0,0,2547,250,271,17658,7,1266,663,6283
58,2020-03-25,0,0,3497,175,271,21155,7,1441,309,6592
59,2020-03-26,0,0,3590,368,271,24745,7,1809,448,7040
60,2020-03-27,0,0,3233,349,271,27978,7,2158,272,7312
61,2020-03-28,0,0,0,0,271,27978,7,2158,165,7477
62,2020-03-29,0,0,0,0,271,27978,7,2158,35,7512
63,2020-03-30,0,0,0,0,271,27978,7,2158,242,7754
64,2020-03-31,0,0,0,0,271,27978,7,2158,114,7868
65,2020-04-01,0,0,0,0,271,27978,7,2158,110,7978
66,2020-04-02,0,0,0,0,271,27978,7,2158,107,8085
67,2020-04-03,0,0,0,0,271,27978,7,2158,76,8161
68,2020-04-04,0,0,0,0,271,27978,7,2158,74,8235
